Order ID,Order Date,Ship Date,Product Category,Sub-Category,Customer Segment,Region,Country,City,Sales,Quantity,Discount,Profit,Ship Mode
DEMO-00001,2024-07-30,2024-08-06,Technology,Machines,Home Office,West,Germany,Demo City 22,504.02,5,0.3,-125.56,Same Day
DEMO-00002,2024-03-16,2024-03-22,Furniture,Tables,Corporate,North,United Kingdom,Demo City 14,438.9,5,0.05,68.22,Standard Class
DEMO-00003,2025-02-06,2025-02-09,Technology,Phones,Home Office,East,Japan,Demo City 14,43.44,1,0.3,-1.62,Same Day
DEMO-00004,2025-03-24,2025-03-29,Office Supplies,Storage,Home Office,West,Germany,Demo City 11,185.48,3,0.1,30.52,Same Day
DEMO-00005,2025-01-21,2025-01-25,Furniture,Chairs,Consumer,South,Australia,Demo City 17,591.56,5,0.1,59.94,First Class
DEMO-00006,2024-04-21,2024-04-27,Office Supplies,Storage,Corporate,South,Brazil,Demo City 27,719.08,10,0.2,-21.47,Second Class
DEMO-00007,2025-05-04,2025-05-09,Technology,Accessories,Home Office,East,Japan,Demo City 9,95.99,2,0.0,20.61,Same Day
DEMO-00008,2024-12-17,2024-12-21,Furniture,Bookcases,Corporate,South,Australia,Demo City 3,1130.39,7,0.0,86.02,Same Day
DEMO-00009,2024-01-16,2024-01-20,Furniture,Bookcases,Consumer,East,Japan,Demo City 9,622.64,7,0.1,45.55,Second Class
DEMO-00010,2024-04-20,2024-04-25,Office Supplies,Paper,Corporate,West,United States,Demo City 16,207.45,3,0.0,40.89,Same Day
DEMO-00011,2023-04-27,2023-04-28,Office Supplies,Storage,Home Office,East,India,Demo City 21,129.09,5,0.3,-7.56,Second Class
DEMO-00012,2023-07-02,2023-07-05,Office Supplies,Paper,Consumer,North,United Kingdom,Demo City 21,397.43,6,0.0,103.27,First Class
DEMO-00013,2024-06-26,2024-07-01,Furniture,Tables,Consumer,South,Australia,Demo City 23,19.41,1,0.0,4.43,Same Day
DEMO-00014,2024-05-04,2024-05-11,Technology,Phones,Corporate,West,United States,Demo City 22,304.46,8,0.1,0.3,Standard Class
DEMO-00015,2024-06-23,2024-06-29,Office Supplies,Binders,Corporate,South,Australia,Demo City 10,92.8,7,0.0,17.51,First Class
DEMO-00016,2023-07-16,2023-07-20,Technology,Phones,Consumer,East,India,Demo City 20,422.22,8,0.0,87.15,Standard Class
DEMO-00017,2024-05-04,2024-05-07,Office Supplies,Binders,Corporate,North,Canada,Demo City 9,144.32,7,0.0,19.23,Standard Class
DEMO-00018,2025-01-04,2025-01-08,Technology,Accessories,Home Office,West,United States,Demo City 5,554.39,6,0.2,160.56,First Class
DEMO-00019,2023-11-08,2023-11-09,Furniture,Tables,Home Office,South,Australia,Demo City 1,95.51,3,0.05,7.07,Same Day
DEMO-00020,2025-03-10,2025-03-16,Furniture,Bookcases,Home Office,North,Canada,Demo City 10,209.82,7,0.0,36.41,Standard Class
DEMO-00021,2023-12-06,2023-12-12,Furniture,Tables,Home Office,West,Germany,Demo City 29,73.4,3,0.0,31.96,Second Class
DEMO-00022,2023-07-17,2023-07-19,Technology,Accessories,Consumer,West,Germany,Demo City 9,175.1,4,0.1,6.38,Second Class
DEMO-00023,2023-05-07,2023-05-11,Office Supplies,Binders,Consumer,West,United States,Demo City 1,519.2,10,0.2,18.57,Same Day
DEMO-00024,2023-01-06,2023-01-13,Furniture,Bookcases,Consumer,East,India,Demo City 1,835.92,5,0.0,168.85,Standard Class
DEMO-00025,2023-11-04,2023-11-07,Technology,Machines,Home Office,West,Germany,Demo City 10,313.9,2,0.0,14.8,Same Day
DEMO-00026,2023-01-20,2023-01-25,Furniture,Bookcases,Consumer,East,India,Demo City 9,299.83,2,0.0,57.23,First Class
DEMO-00027,2023-04-03,2023-04-09,Office Supplies,Storage,Consumer,East,Japan,Demo City 14,238.8,7,0.0,69.23,Standard Class
DEMO-00028,2023-12-10,2023-12-17,Furniture,Tables,Consumer,West,United States,Demo City 29,531.39,5,0.05,112.69,Same Day
DEMO-00029,2025-03-30,2025-04-02,Furniture,Chairs,Home Office,North,United Kingdom,Demo City 5,126.2,7,0.2,7.68,First Class
DEMO-00030,2024-12-27,2024-12-28,Technology,Phones,Home Office,West,Germany,Demo City 8,246.86,9,0.1,37.74,Same Day
DEMO-00031,2023-05-05,2023-05-10,Furniture,Bookcases,Home Office,North,Canada,Demo City 9,173.37,6,0.2,-9.57,Second Class
DEMO-00032,2025-08-23,2025-08-24,Furniture,Tables,Corporate,North,Canada,Demo City 11,647.87,3,0.2,258.25,Standard Class
DEMO-00033,2023-06-20,2023-06-22,Technology,Accessories,Consumer,West,United States,Demo City 14,350.98,4,0.0,81.49,Standard Class
DEMO-00034,2024-07-19,2024-07-24,Furniture,Bookcases,Corporate,North,United Kingdom,Demo City 25,28.27,1,0.0,6.69,Second Class
DEMO-00035,2023-09-07,2023-09-09,Office Supplies,Binders,Corporate,East,Japan,Demo City 29,593.07,10,0.3,-15.82,Second Class
DEMO-00036,2023-04-27,2023-04-28,Technology,Accessories,Home Office,North,Canada,Demo City 21,88.02,5,0.1,22.7,Standard Class
DEMO-00037,2024-11-18,2024-11-23,Office Supplies,Binders,Home Office,West,Germany,Demo City 23,303.53,10,0.5,-34.41,Standard Class
DEMO-00038,2025-01-21,2025-01-26,Office Supplies,Paper,Consumer,East,India,Demo City 2,30.69,6,0.3,-1.33,Standard Class
DEMO-00039,2025-03-17,2025-03-20,Furniture,Tables,Corporate,South,Brazil,Demo City 6,61.52,5,0.0,17.45,First Class
DEMO-00040,2024-05-19,2024-05-23,Technology,Machines,Home Office,South,Australia,Demo City 15,2173.44,11,0.3,274.48,First Class
DEMO-00041,2023-02-08,2023-02-10,Technology,Accessories,Home Office,West,Germany,Demo City 16,150.3,6,0.2,25.36,Same Day
DEMO-00042,2024-07-26,2024-08-02,Office Supplies,Storage,Consumer,North,United Kingdom,Demo City 29,1490.94,7,0.0,399.12,Same Day
DEMO-00043,2023-04-09,2023-04-11,Technology,Machines,Corporate,West,United States,Demo City 2,175.13,7,0.2,-12.55,Standard Class
DEMO-00044,2025-01-13,2025-01-17,Furniture,Bookcases,Home Office,East,India,Demo City 28,152.06,2,0.1,-24.32,Same Day
DEMO-00045,2025-02-28,2025-03-01,Furniture,Tables,Corporate,South,Brazil,Demo City 22,524.21,7,0.3,-107.35,Second Class
DEMO-00046,2024-11-25,2024-11-27,Office Supplies,Storage,Corporate,West,United States,Demo City 16,441.9,8,0.05,77.61,Second Class
DEMO-00047,2023-05-21,2023-05-27,Technology,Phones,Corporate,North,United Kingdom,Demo City 29,36.86,2,0.3,-1.11,Same Day
DEMO-00048,2025-07-15,2025-07-22,Furniture,Tables,Consumer,West,Germany,Demo City 9,841.41,6,0.05,210.62,Same Day
DEMO-00049,2023-04-15,2023-04-19,Office Supplies,Storage,Home Office,East,India,Demo City 13,61.42,2,0.1,7.86,Second Class
DEMO-00050,2024-08-19,2024-08-20,Office Supplies,Binders,Home Office,South,Brazil,Demo City 2,353.79,5,0.05,63.91,Same Day
DEMO-00051,2025-01-15,2025-01-22,Office Supplies,Storage,Consumer,South,Australia,Demo City 8,509.69,10,0.0,138.24,Standard Class
DEMO-00052,2025-09-22,2025-09-23,Furniture,Chairs,Consumer,North,United Kingdom,Demo City 5,291.85,9,0.0,70.79,Standard Class
DEMO-00053,2025-01-02,2025-01-08,Office Supplies,Storage,Home Office,East,Japan,Demo City 4,56.11,9,0.0,5.53,Same Day
DEMO-00054,2024-08-23,2024-08-28,Office Supplies,Paper,Home Office,East,Japan,Demo City 14,235.63,10,0.0,80.69,Standard Class
DEMO-00055,2025-03-31,2025-04-05,Office Supplies,Binders,Consumer,East,India,Demo City 3,269.18,3,0.05,95.29,First Class
DEMO-00056,2025-04-23,2025-04-25,Technology,Accessories,Home Office,North,Canada,Demo City 18,997.59,10,0.2,-22.55,Second Class
DEMO-00057,2024-08-15,2024-08-18,Furniture,Tables,Corporate,West,United States,Demo City 17,493.13,8,0.1,134.86,First Class
DEMO-00058,2025-09-27,2025-10-01,Technology,Phones,Consumer,East,India,Demo City 30,445.92,11,0.0,98.93,Standard Class
DEMO-00059,2025-11-29,2025-12-02,Office Supplies,Paper,Corporate,South,Brazil,Demo City 26,240.59,4,0.1,26.92,Standard Class
DEMO-00060,2023-06-11,2023-06-13,Office Supplies,Paper,Corporate,East,Japan,Demo City 11,141.29,4,0.0,58.28,First Class
DEMO-00061,2024-01-11,2024-01-15,Furniture,Chairs,Corporate,East,Japan,Demo City 16,613.66,8,0.2,5.7,First Class
DEMO-00062,2025-07-19,2025-07-23,Furniture,Bookcases,Corporate,South,Australia,Demo City 9,293.91,6,0.2,35.18,Same Day
DEMO-00063,2025-08-09,2025-08-15,Technology,Machines,Consumer,South,Australia,Demo City 3,762.73,10,0.1,148.63,Second Class
DEMO-00064,2024-04-23,2024-04-29,Furniture,Bookcases,Home Office,South,Brazil,Demo City 13,19.11,2,0.05,2.05,Second Class
DEMO-00065,2023-03-25,2023-04-01,Office Supplies,Binders,Home Office,North,Canada,Demo City 13,25.53,7,0.0,2.93,Second Class
DEMO-00066,2025-01-09,2025-01-11,Office Supplies,Storage,Corporate,East,India,Demo City 15,394.53,8,0.05,54.12,Standard Class
DEMO-00067,2025-05-27,2025-06-03,Office Supplies,Binders,Consumer,North,Canada,Demo City 16,198.67,10,0.5,-49.97,Second Class
DEMO-00068,2025-10-03,2025-10-05,Office Supplies,Paper,Consumer,South,Brazil,Demo City 8,56.44,1,0.2,13.42,Same Day
DEMO-00069,2025-03-02,2025-03-06,Office Supplies,Paper,Consumer,North,United Kingdom,Demo City 9,86.0,3,0.05,24.53,Standard Class
DEMO-00070,2024-11-03,2024-11-04,Office Supplies,Storage,Corporate,West,Germany,Demo City 23,292.3,8,0.2,9.03,First Class
DEMO-00071,2024-02-10,2024-02-14,Office Supplies,Binders,Home Office,South,Australia,Demo City 10,583.03,10,0.1,209.43,First Class
DEMO-00072,2023-01-25,2023-01-28,Technology,Machines,Home Office,West,United States,Demo City 19,117.13,4,0.1,0.98,First Class
DEMO-00073,2025-01-26,2025-01-30,Furniture,Tables,Consumer,North,Canada,Demo City 5,158.27,4,0.0,16.09,First Class
DEMO-00074,2025-05-29,2025-06-03,Furniture,Bookcases,Corporate,North,Canada,Demo City 30,213.02,4,0.2,-26.54,Same Day
DEMO-00075,2023-03-23,2023-03-24,Furniture,Tables,Home Office,West,Germany,Demo City 25,282.43,8,0.5,-77.29,Second Class
DEMO-00076,2025-06-18,2025-06-24,Furniture,Bookcases,Home Office,East,Japan,Demo City 20,128.27,8,0.5,-14.77,Second Class
DEMO-00077,2025-07-30,2025-08-03,Technology,Phones,Home Office,North,Canada,Demo City 8,29.11,1,0.2,4.29,Second Class
DEMO-00078,2024-05-01,2024-05-07,Technology,Phones,Consumer,West,Germany,Demo City 2,26.38,1,0.1,4.75,Second Class
DEMO-00079,2023-01-09,2023-01-16,Office Supplies,Storage,Home Office,North,Canada,Demo City 12,27.02,2,0.2,2.8,Same Day
DEMO-00080,2025-11-08,2025-11-12,Furniture,Chairs,Home Office,North,United Kingdom,Demo City 16,93.48,3,0.2,5.03,Standard Class
DEMO-00081,2024-07-27,2024-07-30,Office Supplies,Storage,Home Office,South,Australia,Demo City 28,187.13,10,0.2,-44.82,Second Class
DEMO-00082,2025-01-13,2025-01-14,Office Supplies,Storage,Corporate,East,India,Demo City 14,192.81,5,0.05,2.68,First Class
DEMO-00083,2023-05-11,2023-05-16,Furniture,Chairs,Home Office,West,Germany,Demo City 26,374.23,11,0.05,48.82,First Class
DEMO-00084,2023-04-23,2023-04-26,Office Supplies,Paper,Consumer,East,India,Demo City 11,1089.85,5,0.3,-39.13,Standard Class
DEMO-00085,2025-08-29,2025-09-05,Furniture,Bookcases,Home Office,North,Canada,Demo City 16,635.1,5,0.2,7.08,First Class
DEMO-00086,2023-12-02,2023-12-06,Office Supplies,Storage,Home Office,South,Brazil,Demo City 7,114.78,10,0.0,27.3,First Class
DEMO-00087,2024-01-15,2024-01-22,Furniture,Chairs,Consumer,East,India,Demo City 2,368.87,4,0.0,81.86,First Class
DEMO-00088,2024-10-06,2024-10-11,Technology,Phones,Home Office,West,Germany,Demo City 21,693.85,9,0.1,184.01,Same Day
DEMO-00089,2023-12-16,2023-12-23,Technology,Machines,Corporate,West,United States,Demo City 29,485.87,3,0.1,29.12,Second Class
DEMO-00090,2024-09-18,2024-09-19,Technology,Machines,Corporate,North,United Kingdom,Demo City 8,256.35,11,0.0,-25.24,First Class
DEMO-00091,2025-09-10,2025-09-15,Office Supplies,Binders,Consumer,South,Brazil,Demo City 30,43.18,1,0.0,13.21,Second Class
DEMO-00092,2023-06-28,2023-06-29,Furniture,Chairs,Corporate,South,Brazil,Demo City 9,411.4,5,0.0,22.95,Second Class
DEMO-00093,2023-09-08,2023-09-11,Technology,Accessories,Consumer,South,Brazil,Demo City 28,95.03,5,0.2,3.65,Second Class
DEMO-00094,2024-06-25,2024-06-29,Office Supplies,Storage,Home Office,East,India,Demo City 6,261.0,3,0.05,2.79,Standard Class
DEMO-00095,2025-06-13,2025-06-14,Furniture,Chairs,Consumer,North,Canada,Demo City 22,103.67,2,0.3,8.12,First Class
